#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         223      6.400000e-01      1.164126e-01      2.259250e-02
         224      6.000000e-01      1.185714e-01      2.259455e-02
         225      6.400000e-01      1.208889e-01      2.261267e-02
         226      6.800000e-01      1.233628e-01      2.264754e-02
         227      6.800000e-01      1.258150e-01      2.268013e-02
         228      5.600000e-01      1.277193e-01      2.266047e-02
         229      6.000000e-01      1.297817e-01      2.265517e-02
         230      5.600000e-01      1.316522e-01      2.263375e-02
         231      4.000000e-01      1.328139e-01      2.256556e-02
         232      4.800000e-01      1.343103e-01      2.251787e-02
         233      3.600000e-01      1.352790e-01      2.244205e-02
         234      2.400000e-01      1.357265e-01      2.235060e-02
         235      2.000000e-01      1.360000e-01      2.225717e-02
         236      1.600000e-01      1.361017e-01      2.216309e-02
         237      8.000000e-02      1.358650e-01      2.207084e-02
         238      1.600000e-01      1.359664e-01      2.197834e-02
         239      2.400000e-01      1.364017e-01      2.189069e-02
         240      8.000000e-02      1.361667e-01      2.180074e-02
         241      8.000000e-02      1.359336e-01      2.171152e-02
         242      0.000000e+00      1.353719e-01      2.162907e-02
         243     -4.000000e-02      1.346502e-01      2.155210e-02
         244     -4.000000e-02      1.339344e-01      2.147565e-02
         245     -1.200000e-01      1.328980e-01      2.141299e-02
         246     -4.000000e-02      1.321951e-01      2.133748e-02
         247     -8.000000e-02      1.313360e-01      2.126838e-02
         248     -4.000000e-02      1.306452e-01      2.119384e-02
         249     -4.000000e-02      1.299598e-01      2.111980e-02
         250     -1.200000e-01      1.289600e-01      2.105898e-02
         251     -1.200000e-01      1.279681e-01      2.099842e-02
         252     -2.000000e-01      1.266667e-01      2.095539e-02
         253     -1.200000e-01      1.256917e-01      2.089523e-02
         254     -1.600000e-01      1.245669e-01      2.084321e-02
         255     -2.000000e-01      1.232941e-01      2.080030e-02
         256     -1.600000e-01      1.221875e-01      2.074847e-02
         257     -2.400000e-01      1.207782e-01      2.071554e-02
         258     -2.800000e-01      1.192248e-01      2.069341e-02
         259     -2.400000e-01      1.178378e-01      2.065994e-02
         260     -4.000000e-01      1.158462e-01      2.067626e-02
         261     -3.600000e-01      1.140230e-01      2.067726e-02
         262     -5.600000e-01      1.114504e-01      2.075776e-02
         263     -5.600000e-01      1.088973e-01      2.083525e-02
         264     -4.800000e-01      1.066667e-01      2.087539e-02
         265     -2.400000e-01      1.053585e-01      2.083757e-02
         266     -2.000000e-01      1.042105e-01      2.079083e-02
         267     -1.600000e-01      1.032210e-01      2.073650e-02
         268     -2.400000e-01      1.019403e-01      2.069863e-02
         269     -8.000000e-02      1.012639e-01      2.063273e-02
         270      0.000000e+00      1.008889e-01      2.055972e-02
         271      2.400000e-01      1.014022e-01      2.049026e-02
         272      8.000000e-02      1.013235e-01      2.041508e-02
         273      8.000000e-02      1.012454e-01      2.034045e-02
         274      1.600000e-01      1.014599e-01      2.026735e-02
         275      1.600000e-01      1.016727e-01      2.019476e-02
         276      3.200000e-01      1.024638e-01      2.013708e-02
         277      3.200000e-01      1.032491e-01      2.007969e-02
         278      2.400000e-01      1.037410e-01      2.001349e-02
         279      2.800000e-01      1.043728e-01      1.995172e-02
         280      5.200000e-01      1.058571e-01      1.993561e-02
         281      3.600000e-01      1.067616e-01      1.988517e-02
         282      2.000000e-01      1.070922e-01      1.981740e-02
         283      1.200000e-01      1.071378e-01      1.974743e-02
         284      8.000000e-02      1.070423e-01      1.967813e-02
         285     -2.000000e-01      1.059649e-01      1.963855e-02
         286     -3.600000e-01      1.043357e-01      1.963735e-02
         287     -3.600000e-01      1.027178e-01      1.963546e-02
         288     -3.600000e-01      1.011111e-01      1.963291e-02
         289     -4.000000e-01      9.937716e-02      1.964139e-02
         290     -3.200000e-01      9.793103e-02      1.962683e-02
         291     -4.400000e-01      9.608247e-02      1.964624e-02
         292     -3.600000e-01      9.452055e-02      1.964095e-02
         293     -3.200000e-01      9.310580e-02      1.962480e-02
