#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         194     -1.200000e-01      6.804124e-03      1.492161e-02
         195      1.600000e-01      7.589744e-03      1.486575e-02
         196      0.000000e+00      7.551020e-03      1.478996e-02
         197      8.000000e-02      7.918782e-03      1.471945e-02
         198      1.200000e-01      8.484848e-03      1.465599e-02
         199     -1.600000e-01      7.638191e-03      1.460678e-02
         200     -1.200000e-01      7.000000e-03      1.454768e-02
         201     -1.200000e-01      6.368159e-03      1.448902e-02
         202     -4.000000e-02      6.138614e-03      1.441911e-02
         203     -1.200000e-01      5.517241e-03      1.436146e-02
         204     -8.000000e-02      5.098039e-03      1.429718e-02
         205     -3.200000e-01      3.512195e-03      1.431512e-02
         206     -4.000000e-01      1.553398e-03      1.437902e-02
         207     -2.400000e-01      3.864734e-04      1.435683e-02
         208     -1.600000e-01     -3.846154e-04      1.430849e-02
         209      4.000000e-02     -1.913876e-04      1.424134e-02
         210      8.000000e-02      1.904762e-04      1.417864e-02
         211      4.000000e-02      3.791469e-04      1.411270e-02
         212      8.000000e-02      7.547170e-04      1.405113e-02
         213     -1.200000e-01      1.877934e-04      1.399659e-02
         214      1.200000e-01      7.476636e-04      1.394238e-02
         215     -4.000000e-01     -1.116279e-03      1.400157e-02
         216     -2.400000e-01     -2.222222e-03      1.398036e-02
         217     -8.000000e-02     -2.580645e-03      1.392053e-02
         218     -1.200000e-01     -3.119266e-03      1.386709e-02
         219     -1.200000e-01     -3.652968e-03      1.381403e-02
         220     -2.000000e-01     -4.545455e-03      1.378004e-02
         221      0.000000e+00     -4.524887e-03      1.371770e-02
         222      2.400000e-01     -3.423423e-03      1.370006e-02
         223      1.600000e-01     -2.690583e-03      1.365821e-02
         224      2.000000e-01     -1.785714e-03      1.362718e-02
         225      1.600000e-01     -1.066667e-03      1.358557e-02
         226      2.400000e-01      4.052805e-18      1.356727e-02
         227      1.600000e-01      7.048458e-04      1.352580e-02
         228      4.000000e-02      8.771930e-04      1.346757e-02
         229      4.000000e-02      1.048035e-03      1.340985e-02
         230     -1.600000e-01      3.478261e-04      1.336981e-02
         231      8.000000e-02      6.926407e-04      1.331638e-02
         232      1.200000e-01      1.206897e-03      1.326891e-02
         233      1.600000e-01      1.888412e-03      1.322945e-02
         234      4.000000e-02      2.051282e-03      1.317392e-02
         235     -1.200000e-01      1.531915e-03      1.312809e-02
         236      1.600000e-01      2.203390e-03      1.308962e-02
         237      8.000000e-02      2.531646e-03      1.303851e-02
         238      4.000000e-01      4.201681e-03      1.309024e-02
         239      1.200000e-01      4.686192e-03      1.304443e-02
         240      1.200000e-01      5.166667e-03      1.299893e-02
         241      1.200000e-01      5.643154e-03      1.295372e-02
         242      4.400000e-01      7.438017e-03      1.302395e-02
         243      8.000000e-02      7.736626e-03      1.297377e-02
         244      4.000000e-02      7.868852e-03      1.292128e-02
         245      2.400000e-01      8.816327e-03      1.290323e-02
         246     -8.000000e-02      8.455285e-03      1.285582e-02
         247     -2.400000e-01      7.449393e-03      1.284307e-02
         248     -1.200000e-01      6.935484e-03      1.280156e-02
         249     -4.000000e-02      6.746988e-03      1.275154e-02
         250     -1.200000e-01      6.240000e-03      1.271060e-02
         251      1.200000e-01      6.693227e-03      1.266804e-02
         252      4.000000e-02      6.825397e-03      1.261846e-02
         253      1.200000e-01      7.272727e-03      1.257651e-02
         254     -4.000000e-02      7.086614e-03      1.252838e-02
         255     -4.000000e-02      6.901961e-03      1.248061e-02
         256     -1.200000e-01      6.406250e-03      1.244169e-02
         257     -2.400000e-01      5.447471e-03      1.243017e-02
         258      1.600000e-01      6.046512e-03      1.239642e-02
         259      4.000000e-02      6.177606e-03      1.234925e-02
         260      4.000000e-01      7.692308e-03      1.239430e-02
         261      2.800000e-01      8.735632e-03      1.239064e-02
         262      1.600000e-01      9.312977e-03      1.235679e-02
         263      1.600000e-01      9.885932e-03      1.232309e-02
         264      2.800000e-01      1.090909e-02      1.231881e-02
         265      1.600000e-01      1.147170e-02      1.228516e-02
         266     -8.000000e-02      1.112782e-02      1.224379e-02
         267     -1.200000e-01      1.063670e-02      1.220778e-02
         268     -2.800000e-01      9.552239e-03      1.221030e-02
         269     -2.000000e-01      8.773234e-03      1.218974e-02
         270     -4.000000e-02      8.592593e-03      1.214593e-02
         271      3.200000e-01      9.741697e-03      1.215534e-02
         272     -1.200000e-01      9.264706e-03      1.212001e-02
         273     -1.200000e-01      8.791209e-03      1.208486e-02
         274      4.000000e-02      8.905109e-03      1.204129e-02
         275      2.000000e-01      9.600000e-03      1.201754e-02
         276      2.000000e-01      1.028986e-02      1.199378e-02
         277     -2.400000e-01      9.386282e-03      1.198447e-02
         278     -2.400000e-01      8.489209e-03      1.197489e-02
         279     -2.000000e-01      7.741935e-03      1.195526e-02
         280      1.600000e-01      8.285714e-03      1.192492e-02
         281     -3.200000e-01      7.117438e-03      1.193958e-02
         282      8.000000e-02      7.375887e-03      1.190003e-02
         283      1.200000e-01      7.773852e-03      1.186464e-02
         284      3.200000e-01      8.873239e-03      1.187369e-02
         285      3.200000e-01      9.964912e-03      1.188210e-02
         286      8.000000e-02      1.020979e-02      1.184308e-02
         287      8.000000e-02      1.045296e-02      1.180431e-02
         288     -8.000000e-02      1.013889e-02      1.176750e-02
         289     -1.200000e-01      9.688581e-03      1.173540e-02
         290     -4.000000e-02      9.517241e-03      1.169618e-02
         291     -2.800000e-01      8.522337e-03      1.169822e-02
         292     -8.000000e-02      8.219178e-03      1.166209e-02
         293     -8.000000e-02      7.918089e-03      1.162617e-02
         294      1.200000e-01      8.299320e-03      1.159288e-02
         295      2.800000e-01      9.220339e-03      1.159011e-02
         296      2.800000e-01      1.013514e-02      1.158700e-02
         297      1.600000e-01      1.063973e-02      1.155897e-02
         298      8.000000e-02      1.087248e-02      1.152252e-02
         299      0.000000e+00      1.083612e-02      1.148404e-02
         300      8.000000e-02      1.106667e-02      1.144808e-02
         301     -4.000000e-02      1.089701e-02      1.141130e-02
         302      2.000000e-01      1.152318e-02      1.139068e-02
         303      4.000000e-02      1.161716e-02      1.135347e-02
         304     -8.000000e-02      1.131579e-02      1.132013e-02
         305     -2.800000e-01      1.036066e-02      1.132323e-02
         306     -3.200000e-01      9.281046e-03      1.133758e-02
         307     -1.200000e-01      8.859935e-03      1.130847e-02
         308     -1.200000e-01      8.441558e-03      1.127949e-02
         309     -1.200000e-01      8.025890e-03      1.125064e-02
         310     -1.600000e-01      7.483871e-03      1.122740e-02
         311     -1.600000e-01      6.945338e-03      1.120421e-02
         312     -1.200000e-01      6.538462e-03      1.117568e-02
         313      8.000000e-02      6.773163e-03      1.114244e-02
         314     -1.600000e-01      6.242038e-03      1.111961e-02
         315     -3.200000e-01      5.206349e-03      1.113243e-02
         316     -1.200000e-01      4.810127e-03      1.110425e-02
         317      4.000000e-02      4.921136e-03      1.106978e-02
         318      2.000000e-01      5.534591e-03      1.105195e-02
         319      2.400000e-01      6.269592e-03      1.104172e-02
         320      8.000000e-02      6.500000e-03      1.100962e-02
         321     -4.000000e-02      6.355140e-03      1.097627e-02
         322     -2.800000e-01      5.465839e-03      1.097815e-02
         323      2.000000e-01      6.068111e-03      1.096067e-02
         324      4.000000e-02      6.172840e-03      1.092734e-02
         325     -1.600000e-01      5.661538e-03      1.090568e-02
         326     -4.000000e-02      5.521472e-03      1.087312e-02
         327      0.000000e+00      5.504587e-03      1.083989e-02
