#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         294     -3.307710e+00     -3.511765e+00      1.192478e-02
         295     -3.307079e+00     -3.511071e+00      1.190453e-02
         296     -3.306420e+00     -3.510380e+00      1.188437e-02
         297     -3.305735e+00     -3.509691e+00      1.186431e-02
         298     -3.305173e+00     -3.509005e+00      1.184433e-02
         299     -3.304132e+00     -3.508319e+00      1.182452e-02
         300     -3.303063e+00     -3.507635e+00      1.180488e-02
         301     -3.302120e+00     -3.506953e+00      1.178539e-02
         302     -3.301651e+00     -3.506273e+00      1.176596e-02
         303     -3.301473e+00     -3.505597e+00      1.174653e-02
         304     -3.302208e+00     -3.504928e+00      1.172692e-02
         305     -3.303557e+00     -3.504268e+00      1.170705e-02
         306     -3.304389e+00     -3.503614e+00      1.168700e-02
         307     -3.305310e+00     -3.502968e+00      1.166676e-02
         308     -3.306171e+00     -3.502329e+00      1.164637e-02
         309     -3.306970e+00     -3.501697e+00      1.162583e-02
         310     -3.307860e+00     -3.501072e+00      1.160513e-02
         311     -3.308539e+00     -3.500453e+00      1.158431e-02
         312     -3.309309e+00     -3.499840e+00      1.156337e-02
         313     -3.310171e+00     -3.499234e+00      1.154229e-02
         314     -3.310673e+00     -3.498634e+00      1.152115e-02
         315     -3.311267e+00     -3.498039e+00      1.149992e-02
         316     -3.311502e+00     -3.497449e+00      1.147866e-02
         317     -3.312133e+00     -3.496864e+00      1.145733e-02
         318     -3.312709e+00     -3.496285e+00      1.143593e-02
         319     -3.313380e+00     -3.495712e+00      1.141444e-02
         320     -3.313544e+00     -3.495142e+00      1.139296e-02
         321     -3.313805e+00     -3.494577e+00      1.137146e-02
         322     -3.314878e+00     -3.494019e+00      1.134983e-02
         323     -3.316215e+00     -3.493469e+00      1.132804e-02
         324     -3.317191e+00     -3.492925e+00      1.130613e-02
         325     -3.318261e+00     -3.492387e+00      1.128411e-02
         326     -3.319726e+00     -3.491858e+00      1.126192e-02
         327     -3.320530e+00     -3.491334e+00      1.123966e-02
         328     -3.321665e+00     -3.490816e+00      1.121729e-02
         329     -3.323024e+00     -3.490306e+00      1.119478e-02
         330     -3.324486e+00     -3.489804e+00      1.117213e-02
         331     -3.325747e+00     -3.489308e+00      1.114937e-02
         332     -3.326960e+00     -3.488819e+00      1.112650e-02
         333     -3.327973e+00     -3.488336e+00      1.110357e-02
         334     -3.328940e+00     -3.487859e+00      1.108058e-02
         335     -3.330369e+00     -3.487389e+00      1.105747e-02
         336     -3.332081e+00     -3.486927e+00      1.103422e-02
         337     -3.333901e+00     -3.486473e+00      1.101081e-02
         338     -3.335222e+00     -3.486025e+00      1.098733e-02
         339     -3.336801e+00     -3.485585e+00      1.096373e-02
         340     -3.338335e+00     -3.485152e+00      1.094003e-02
         341     -3.339976e+00     -3.484726e+00      1.091623e-02
         342     -3.341573e+00     -3.484308e+00      1.089233e-02
         343     -3.343275e+00     -3.483896e+00      1.086834e-02
         344     -3.344782e+00     -3.483492e+00      1.084426e-02
         345     -3.346245e+00     -3.483094e+00      1.082013e-02
         346     -3.347210e+00     -3.482701e+00      1.079598e-02
         347     -3.348736e+00     -3.482315e+00      1.077177e-02
         348     -3.349915e+00     -3.481935e+00      1.074753e-02
         349     -3.351050e+00     -3.481560e+00      1.072328e-02
         350     -3.352142e+00     -3.481190e+00      1.069901e-02
         351     -3.353189e+00     -3.480825e+00      1.067474e-02
         352     -3.354192e+00     -3.480466e+00      1.065048e-02
         353     -3.355302e+00     -3.480111e+00      1.062621e-02
         354     -3.356519e+00     -3.479762e+00      1.060192e-02
         355     -3.357542e+00     -3.479418e+00      1.057765e-02
         356     -3.358824e+00     -3.479079e+00      1.055336e-02
         357     -3.360061e+00     -3.478746e+00      1.052906e-02
         358     -3.360803e+00     -3.478416e+00      1.050480e-02
         359     -3.361501e+00     -3.478090e+00      1.048059e-02
         360     -3.362005e+00     -3.477768e+00      1.045643e-02
         361     -3.362768e+00     -3.477449e+00      1.043232e-02
         362     -3.363638e+00     -3.477135e+00      1.040824e-02
